satellite_sf,strength,log_mh_perh,log_sm_smhm,log_accreted,ratio,log_icl,f_icl
false,1,13.1506,11.1027,10.9011,0.6287,11.0391,0.4635
false,1,13.2991,11.1564,11.0217,0.7334,11.1963,0.5229
false,1,13.4473,11.2101,11.1268,0.8256,11.3421,0.5754
false,1,13.5954,11.2636,11.2248,0.9145,11.4804,0.6223
false,1,13.7433,11.3170,11.3176,1.0013,11.6157,0.6655
false,1,13.8911,11.3704,11.4001,1.0709,11.7427,0.7021
false,1,14.0386,11.4237,11.4746,1.1246,11.8619,0.7329
false,1,14.1858,11.4768,11.5420,1.1620,11.9713,0.7574
false,1,14.3328,11.5299,11.6123,1.2090,12.0808,0.7805
false,1,14.4794,11.5829,11.6682,1.2170,12.1798,0.7981
false,1,14.6256,11.6357,11.7218,1.2193,12.2745,0.8132
false,2,10.3163,7.7203,NaN,0.0000,6.4203,0.0477
false,2,10.4658,8.0623,NaN,0.0000,6.7363,0.0451
false,2,10.6154,8.4026,NaN,0.0000,7.0537,0.0429
false,2,10.7649,8.7396,NaN,0.0000,7.3492,0.0391
false,2,10.9144,9.0704,NaN,0.0000,7.6464,0.0363
false,2,11.0638,9.3901,4.3412,0.0000,7.9432,0.0345
false,2,11.2133,9.6905,6.1164,0.0003,8.2426,0.0344
false,2,11.3626,9.9607,7.2917,0.0021,8.5382,0.0364
false,2,11.5120,10.1894,7.9379,0.0056,8.8206,0.0410
false,2,11.6613,10.3709,8.4120,0.0110,9.0970,0.0505
false,2,11.8105,10.5085,8.8191,0.0204,9.3770,0.0688
false,2,11.9597,10.6126,9.1517,0.0346,9.6400,0.0963
false,2,12.1089,10.6947,9.4196,0.0531,9.8840,0.1339
false,2,12.2579,10.7638,9.6730,0.0811,10.1187,0.1846
false,2,12.4069,10.8257,9.8898,0.1159,10.3343,0.2439
false,2,12.5559,10.8837,10.0888,0.1604,10.5397,0.3117
false,2,12.7047,10.9396,10.2637,0.2109,10.7358,0.3848
false,2,12.8535,10.9945,10.4174,0.2648,10.9115,0.4524
false,2,13.0021,11.0487,10.5520,0.3186,11.0792,0.5175
false,2,13.1506,11.1027,10.6785,0.3766,11.2417,0.5794
false,2,13.2991,11.1564,10.7911,0.4312,11.3946,0.6338
false,2,13.4473,11.2101,10.8944,0.4834,11.5404,0.6815
false,2,13.5954,11.2636,10.9891,0.5315,11.6787,0.7223
false,2,13.7433,11.3170,11.0655,0.5604,11.8040,0.7542
false,2,13.8911,11.3704,11.1442,0.5940,11.9313,0.7844
false,2,14.0386,11.4237,11.2115,0.6135,12.0501,0.8088
false,2,14.1858,11.4768,11.2755,0.6290,12.1620,0.8289
false,2,14.3328,11.5299,11.3365,0.6406,12.2691,0.8458
false,2,14.4794,11.5829,11.3953,0.6493,12.3730,0.8605
false,2,14.6256,11.6357,11.4425,0.6409,12.4635,0.8706
false,3,10.3163,7.7203,NaN,0.0000,6.5174,0.0590
false,3,10.4658,8.0623,NaN,0.0000,6.8393,0.0565
false,3,10.6154,8.4026,NaN,0.0000,7.1517,0.0531
false,3,10.7649,8.7396,NaN,0.0000,7.4512,0.0490
false,3,10.9144,9.0704,NaN,0.0000,7.7469,0.0453
false,3,11.0638,9.3901,NaN,0.0000,8.0411,0.0429
false,3,11.2133,9.6905,5.7839,0.0001,8.3397,0.0427
false,3,11.3626,9.9607,6.8991,0.0009,8.6297,0.0446
false,3,11.5120,10.1894,7.6242,0.0027,8.9159,0.0506
false,3,11.6613,10.3709,8.1372,0.0058,9.1960,0.0627
false,3,11.8105,10.5085,8.5586,0.0112,9.4745,0.0846
false,3,11.9597,10.6126,8.9151,0.0201,9.7320,0.1163
false,3,12.1089,10.6947,9.2133,0.0330,9.9851,0.1633
false,3,12.2579,10.7638,9.4622,0.0499,10.2175,0.2213
false,3,12.4069,10.8257,9.6893,0.0731,10.4338,0.2886
